instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
293244165,1145485,BANKEX26JANFUT,"BANKEX",0,2026-01-29,0,0.05,30,FUT,BFO-FUT,BFO
298595077,1166387,BANKEX26FEBFUT,"BANKEX",0,2026-02-26,0,0.05,30,FUT,BFO-FUT,BFO
211574533,826463,BANKEX26MARFUT,"BANKEX",0,2026-03-25,0,0.05,30,FUT,BFO-FUT,BFO
292786437,1143697,SENSEX26JANFUT,"SENSEX",0,2026-01-29,0,0.05,20,FUT,BFO-FUT,BFO
298364421,1165486,SENSEX26FEBFUT,"SENSEX",0,2026-02-26,0,0.05,20,FUT,BFO-FUT,BFO
211344645,825565,SENSEX26MARFUT,"SENSEX",0,2026-03-25,0,0.05,20,FUT,BFO-FUT,BFO
291110661,1137151,SENSEX5026JANFUT,"SENSEX50",0,2026-01-29,0,0.05,75,FUT,BFO-FUT,BFO
297558533,1162338,SENSEX5026FEBFUT,"SENSEX50",0,2026-02-26,0,0.05,75,FUT,BFO-FUT,BFO
212559877,830312,SENSEX5026MARFUT,"SENSEX50",0,2026-03-25,0,0.05,75,FUT,BFO-FUT,BFO
292513029,1142629,BANKEX26JAN66900PE,"BANKEX",0,2026-01-29,66900,0.05,30,PE,BFO-OPT,BFO
293691397,1147232,BANKEX26JAN66900CE,"BANKEX",0,2026-01-29,66900,0.05,30,CE,BFO-OPT,BFO
292183301,1141341,BANKEX26JAN67000CE,"BANKEX",0,2026-01-29,67000,0.05,30,CE,BFO-OPT,BFO
294561797,1150632,BANKEX26JAN67000PE,"BANKEX",0,2026-01-29,67000,0.05,30,PE,BFO-OPT,BFO
292606469,1142994,BANKEX26JAN66800CE,"BANKEX",0,2026-01-29,66800,0.05,30,CE,BFO-OPT,BFO
293353733,1145913,BANKEX26JAN66800PE,"BANKEX",0,2026-01-29,66800,0.05,30,PE,BFO-OPT,BFO
291922181,1140321,BANKEX26JAN67100PE,"BANKEX",0,2026-01-29,67100,0.05,30,PE,BFO-OPT,BFO
294894597,1151932,BANKEX26JAN67100CE,"BANKEX",0,2026-01-29,67100,0.05,30,CE,BFO-OPT,BFO
293471493,1146373,BANKEX26JAN66700CE,"BANKEX",0,2026-01-29,66700,0.05,30,CE,BFO-OPT,BFO
294204421,1149236,BANKEX26JAN66700PE,"BANKEX",0,2026-01-29,66700,0.05,30,PE,BFO-OPT,BFO
